V - 50N,G    1.0000+00* SIGECN-MASGAM                             2350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3575E+04 3.8876E-03 1.3600E+04 3.8929E-03 1.3700E+04 3.9598E-032350 3102
 1.3800E+04 4.1064E-03 1.3850E+04 4.2137E-03 1.3900E+04 4.3469E-032350 3102
 1.3950E+04 4.5096E-03 1.4000E+04 4.7059E-03 1.4050E+04 4.9415E-032350 3102
 1.4100E+04 5.2234E-03 1.4150E+04 5.5609E-03 1.4200E+04 5.9661E-032350 3102
 1.4250E+04 6.4549E-03 1.4300E+04 7.0487E-03 1.4350E+04 7.7771E-032350 3102
 1.4400E+04 8.6812E-03 1.4450E+04 9.8203E-03 1.4500E+04 1.1282E-022350 3102
 1.4550E+04 1.3200E-02 1.4600E+04 1.5790E-02 1.4650E+04 1.9413E-022350 3102
 1.4700E+04 2.4720E-02 1.4725E+04 2.8358E-02 1.4750E+04 3.2971E-022350 3102
 1.4775E+04 3.8945E-02 1.4800E+04 4.6872E-02 1.4825E+04 5.7696E-022350 3102
 1.4850E+04 7.2962E-02 1.4875E+04 9.5274E-02 1.4900E+04 1.2903E-012350 3102
 1.4950E+04 2.5853E-01 1.5000E+04 4.0154E-01 1.5038E+04 3.1422E-012350 3102
 1.5075E+04 2.0255E-01 1.5094E+04 1.6928E-01 1.5113E+04 1.4890E-012350 3102
 1.5131E+04 1.3871E-01 1.5150E+04 1.3709E-01 1.5169E+04 1.4355E-012350 3102
 1.5188E+04 1.5867E-01 1.5206E+04 1.8400E-01 1.5225E+04 2.2168E-012350 3102
