S - 33N,G    1.0000+00* JEF-2.2                                   1633 3102
 2.3925E+04 5.0001E-01 2.3927E+04 5.0780E-01 2.3928E+04 5.1254E-011633 3102
 2.3930E+04 5.1410E-01 2.3932E+04 5.1243E-01 2.3933E+04 5.0758E-011633 3102
 2.3935E+04 4.9969E-01 2.3937E+04 4.8903E-01 2.3938E+04 4.7591E-011633 3102
 2.3940E+04 4.6070E-01 2.3942E+04 4.4382E-01 2.3944E+04 4.2579E-011633 3102
 2.3945E+04 4.0678E-01 2.3947E+04 3.8728E-01 2.3950E+04 3.4821E-011633 3102
 2.3955E+04 2.9255E-01 2.3959E+04 2.5911E-01 2.3960E+04 2.4369E-011633 3102
 2.3962E+04 2.2910E-01 2.3964E+04 2.1551E-01 2.3966E+04 2.0274E-011633 3102
 2.3967E+04 1.9089E-01 2.3969E+04 1.7979E-01 2.3971E+04 1.6952E-011633 3102
 2.3972E+04 1.5991E-01 2.3974E+04 1.5103E-01 2.3976E+04 1.4273E-011633 3102
 2.3977E+04 1.3505E-01 2.3979E+04 1.2787E-01 2.3981E+04 1.2122E-011633 3102
 2.3983E+04 1.1504E-01 2.3984E+04 1.0927E-01 2.3986E+04 1.0386E-011633 3102
 2.3988E+04 9.8841E-02 2.3989E+04 9.4124E-02 2.3993E+04 8.5613E-021633 3102
 2.3996E+04 7.8164E-02 2.3998E+04 7.4781E-02 2.4001E+04 6.8595E-021633 3102
 2.4003E+04 6.5766E-02 2.4006E+04 6.0603E-02 2.4008E+04 5.8246E-021633 3102
 2.4012E+04 5.3914E-02 2.4015E+04 5.0023E-02 2.4018E+04 4.6525E-021633 3102
 2.4022E+04 4.3371E-02 2.4025E+04 4.0526E-02 2.4029E+04 3.7938E-021633 3102
 2.4032E+04 3.5585E-02 2.4035E+04 3.3440E-02 2.4039E+04 3.1486E-021633 3102
 2.4042E+04 2.9690E-02 2.4046E+04 2.8041E-02 2.4049E+04 2.6523E-021633 3102
 2.4056E+04 2.3835E-02 2.4059E+04 2.2638E-02 2.4066E+04 2.0500E-021633 3102
 2.4069E+04 1.9540E-02 2.4076E+04 1.7810E-02 2.4080E+04 1.7031E-021633 3102
 2.4087E+04 1.5614E-02 2.4093E+04 1.4368E-02 2.4104E+04 1.2757E-021633 3102
 2.4114E+04 1.1404E-02 2.4121E+04 1.0619E-02 2.4127E+04 9.9091E-031633 3102
 2.4134E+04 9.2684E-03 2.4148E+04 8.1589E-03 2.4155E+04 7.6769E-031633 3102
 2.4168E+04 6.8328E-03 2.4175E+04 6.4622E-03 2.4189E+04 5.8055E-031633 3102
 2.4209E+04 4.9929E-03 2.4223E+04 4.5425E-03 2.4243E+04 3.9732E-031633 3102
 2.4264E+04 3.5044E-03 2.4284E+04 3.1143E-03 2.4298E+04 2.8899E-031633 3102
 2.4311E+04 2.6891E-03 2.4339E+04 2.3445E-03 2.4380E+04 1.9401E-031633 3102
 2.4420E+04 1.6323E-03 2.4448E+04 1.4663E-03 2.4489E+04 1.2614E-031633 3102
 2.4529E+04 1.0970E-03 2.4570E+04 9.6303E-04 2.4639E+04 7.8915E-041633 3102
 2.4693E+04 6.8251E-04 2.4775E+04 5.5927E-04 2.4829E+04 4.9514E-041633 3102
 2.4911E+04 4.1826E-04 2.5075E+04 3.1105E-04 2.5211E+04 2.5130E-041633 3102
 2.5429E+04 1.8750E-04 2.5702E+04 1.3845E-04 2.6029E+04 1.0294E-041633 3102
 2.6301E+04 8.3868E-05 2.6683E+04 6.6074E-05 2.7228E+04 5.0525E-051633 3102
 2.7883E+04 3.9648E-05 2.8428E+04 3.3951E-05 2.8973E+04 2.9997E-051633 3102
 2.9627E+04 2.6677E-05 3.0718E+04 2.3186E-05 3.2680E+04 2.0204E-051633 3102
 3.4425E+04 1.9404E-05 3.6606E+04 1.9982E-05 3.9223E+04 2.2991E-051633 3102
 4.1404E+04 2.8379E-05 4.3148E+04 3.6194E-05 4.4239E+04 4.3982E-051633 3102
 4.4893E+04 5.0417E-05 4.5547E+04 5.8818E-05 4.5983E+04 6.5925E-051633 3102
 4.6638E+04 7.9812E-05 4.7292E+04 9.9484E-05 4.7837E+04 1.2294E-041633 3102
 4.8164E+04 1.4171E-04 4.8491E+04 1.6561E-04 4.8709E+04 1.8539E-041633 3102
 4.9037E+04 2.2305E-04 4.9309E+04 2.6471E-04 4.9473E+04 2.9601E-041633 3102
 4.9582E+04 3.2027E-04 4.9745E+04 3.6306E-04 4.9909E+04 4.1564E-041633 3102
 5.0072E+04 4.8131E-04 5.0182E+04 5.3470E-04 5.0345E+04 6.3423E-041633 3102
 5.0400E+04 6.7400E-04 5.0509E+04 7.6631E-04 5.0563E+04 8.2012E-041633 3102
 5.0672E+04 9.4726E-04 5.0781E+04 1.1082E-03 5.0836E+04 1.2053E-031633 3102
 5.0945E+04 1.4441E-03 5.1108E+04 1.9695E-03 5.1136E+04 2.0851E-031633 3102
 5.1163E+04 2.2123E-03 5.1190E+04 2.3518E-03 5.1217E+04 2.5053E-031633 3102
 5.1245E+04 2.6749E-03 5.1272E+04 2.8628E-03 5.1299E+04 3.0710E-031633 3102
 5.1313E+04 3.1837E-03 5.1326E+04 3.3035E-03 5.1340E+04 3.4303E-031633 3102
 5.1354E+04 3.5647E-03 5.1367E+04 3.7074E-03 5.1381E+04 3.8589E-031633 3102
 5.1395E+04 4.0202E-03 5.1408E+04 4.1918E-03 5.1422E+04 4.3749E-031633 3102
 5.1436E+04 4.5704E-03 5.1449E+04 4.7795E-03 5.1463E+04 5.0034E-031633 3102
 5.1476E+04 5.2435E-03 5.1490E+04 5.5014E-03 5.1504E+04 5.7790E-031633 3102
 5.1517E+04 6.0781E-03 5.1531E+04 6.4003E-03 5.1538E+04 6.5712E-031633 3102
 5.1545E+04 6.7489E-03 5.1551E+04 6.9344E-03 5.1558E+04 7.1273E-031633 3102
 5.1565E+04 7.3287E-03 5.1572E+04 7.5384E-03 5.1579E+04 7.7574E-031633 3102
 5.1585E+04 7.9857E-03 5.1592E+04 8.2245E-03 5.1599E+04 8.4736E-031633 3102
