K - 39N,G    1.0000+00* JENDL-3.1                                 1939 3102
 1.4296E+04 5.1035E-01 1.4297E+04 4.0662E-01 1.4298E+04 3.2888E-011939 3102
 1.4300E+04 2.2911E-01 1.4301E+04 1.7091E-01 1.4303E+04 1.3450E-011939 3102
 1.4305E+04 1.0980E-01 1.4308E+04 7.8375E-02 1.4311E+04 5.9337E-021939 3102
 1.4317E+04 3.7830E-02 1.4324E+04 2.6413E-02 1.4337E+04 1.5131E-021939 3102
 1.4350E+04 9.7363E-03 1.4362E+04 6.8934E-03 1.4388E+04 4.0693E-031939 3102
 1.4414E+04 2.7291E-03 1.4440E+04 2.0123E-03 1.4491E+04 1.3016E-031939 3102
 1.4594E+04 7.8536E-04 1.4697E+04 6.0342E-04 1.4903E+04 4.8137E-041939 3102
 1.5109E+04 4.6190E-04 1.5315E+04 5.1303E-04 1.5521E+04 7.2834E-041939 3102
 1.5623E+04 1.0489E-03 1.5675E+04 1.3767E-03 1.5726E+04 1.9892E-031939 3102
 1.5778E+04 3.2982E-03 1.5804E+04 4.6158E-03 1.5829E+04 7.0832E-031939 3102
 1.5855E+04 1.2265E-02 1.5868E+04 1.7468E-02 1.5881E+04 2.6874E-021939 3102
 1.5887E+04 3.4811E-02 1.5894E+04 4.7289E-02 1.5900E+04 6.7810E-021939 3102
 1.5903E+04 8.3772E-02 1.5907E+04 1.0661E-01 1.5910E+04 1.4089E-011939 3102
 1.5913E+04 1.9709E-01 1.5915E+04 2.4087E-01 1.5916E+04 3.0430E-011939 3102
 1.5918E+04 4.0216E-01 1.5919E+04 4.7130E-01 1.5919E+04 5.6152E-011939 3102
 1.5920E+04 6.7698E-01 1.5921E+04 8.2645E-01 1.5922E+04 1.0191E+001939 3102
 1.5923E+04 1.2689E+00 1.5923E+04 1.5803E+00 1.5924E+04 1.9717E+001939 3102
 1.5925E+04 2.4414E+00 1.5926E+04 3.0051E+00 1.5927E+04 3.6468E+001939 3102
 1.5927E+04 4.3725E+00 1.5928E+04 5.1450E+00 1.5930E+04 6.3536E+001939 3102
 1.5931E+04 7.4915E+00 1.5931E+04 7.9828E+00 1.5932E+04 8.6364E+001939 3102
 1.5933E+04 9.0204E+00 1.5934E+04 9.0848E+00 1.5934E+04 9.0558E+001939 3102
 1.5935E+04 8.7383E+00 1.5936E+04 8.2894E+00 1.5937E+04 7.6269E+001939 3102
 1.5942E+04 3.0424E+00 1.5943E+04 2.6193E+00 1.5943E+04 2.2494E+001939 3102
 1.5944E+04 1.9245E+00 1.5944E+04 1.6428E+00 1.5945E+04 1.3972E+001939 3102
 1.5946E+04 1.1925E+00 1.5946E+04 1.0199E+00 1.5947E+04 7.5338E-011939 3102
 1.5948E+04 5.7127E-01 1.5950E+04 4.4492E-01 1.5951E+04 3.5768E-011939 3102
 1.5952E+04 2.9490E-01 1.5954E+04 2.1397E-01 1.5957E+04 1.6477E-011939 3102
 1.5959E+04 1.3166E-01 1.5964E+04 9.0496E-02 1.5968E+04 6.6327E-021939 3102
 1.5973E+04 5.0973E-02 1.5982E+04 3.2982E-02 1.5992E+04 2.2944E-021939 3102
 1.6001E+04 1.6934E-02 1.6010E+04 1.3107E-02 1.6029E+04 8.5654E-031939 3102
 1.6047E+04 6.0510E-03 1.6085E+04 3.5456E-03 1.6122E+04 2.3613E-031939 3102
 1.6159E+04 1.7242E-03 1.6234E+04 1.0902E-03 1.6383E+04 6.2849E-041939 3102
 1.6532E+04 4.6283E-04 1.6830E+04 3.4016E-04 1.7128E+04 2.9345E-041939 3102
 1.7724E+04 2.5618E-04 1.8917E+04 2.3884E-04 2.0109E+04 2.5318E-041939 3102
 2.1302E+04 3.0563E-04 2.2196E+04 3.9810E-04 2.2792E+04 5.1935E-041939 3102
 2.3388E+04 7.5668E-04 2.3686E+04 9.6923E-04 2.3984E+04 1.3139E-031939 3102
 2.4283E+04 1.9286E-03 2.4432E+04 2.4351E-03 2.4506E+04 2.7730E-031939 3102
 2.4581E+04 3.1915E-03 2.4655E+04 3.7170E-03 2.4692E+04 4.0316E-031939 3102
 2.4767E+04 4.8025E-03 2.4804E+04 5.2768E-03 2.4842E+04 5.8271E-031939 3102
 2.4879E+04 6.4708E-03 2.4916E+04 7.2299E-03 2.4953E+04 8.1339E-031939 3102
 2.4991E+04 9.2220E-03 2.5028E+04 1.0548E-02 2.5065E+04 1.2178E-021939 3102
 2.5084E+04 1.3136E-02 2.5102E+04 1.4221E-02 2.5121E+04 1.5446E-021939 3102
 2.5140E+04 1.6836E-02 2.5158E+04 1.8423E-02 2.5177E+04 2.0247E-021939 3102
 2.5196E+04 2.2352E-02 2.5214E+04 2.4803E-02 2.5233E+04 2.7675E-021939 3102
 2.5251E+04 3.1070E-02 2.5270E+04 3.5121E-02 2.5289E+04 4.0002E-021939 3102
 2.5307E+04 4.5949E-02 2.5326E+04 5.3231E-02 2.5335E+04 5.7495E-021939 3102
 2.5345E+04 6.2325E-02 2.5354E+04 6.7760E-02 2.5363E+04 7.3910E-021939 3102
 2.5373E+04 8.0881E-02 2.5382E+04 8.8833E-02 2.5391E+04 9.7934E-021939 3102
 2.5400E+04 1.0839E-01 2.5410E+04 1.2044E-01 2.5419E+04 1.3442E-011939 3102
 2.5428E+04 1.5063E-01 2.5438E+04 1.6955E-01 2.5447E+04 1.9159E-011939 3102
 2.5456E+04 2.1730E-01 2.5466E+04 2.4715E-01 2.5475E+04 2.8151E-011939 3102
 2.5484E+04 3.1850E-01 2.5493E+04 3.5932E-01 2.5519E+04 4.8823E-011939 3102
 2.5528E+04 5.2294E-01 2.5537E+04 5.4584E-01 2.5546E+04 5.5374E-011939 3102
