V - 51N,G    1.0000+00* JENDL-3.1                                 2351 3102
 1.8062E+04 2.2118E+00 1.8063E+04 1.9406E+00 1.8066E+04 1.0955E+002351 3102
 1.8067E+04 7.3696E-01 1.8068E+04 4.6654E-01 1.8070E+04 2.8324E-012351 3102
 1.8071E+04 1.6923E-01 1.8072E+04 1.0438E-01 1.8074E+04 6.9064E-022351 3102
 1.8076E+04 3.9426E-02 1.8082E+04 2.3872E-02 1.8092E+04 1.5705E-022351 3102
 1.8103E+04 1.2800E-02 1.8113E+04 1.1448E-02 1.8145E+04 9.8462E-032351 3102
 1.8229E+04 8.6666E-03 1.8397E+04 7.8106E-03 1.8565E+04 7.2786E-032351 3102
 1.8733E+04 6.8792E-03 1.9069E+04 6.3345E-03 1.9237E+04 6.1634E-032351 3102
 1.9573E+04 6.0133E-03 1.9909E+04 6.1748E-03 2.0077E+04 6.4277E-032351 3102
 2.0329E+04 7.1820E-03 2.0413E+04 7.6067E-03 2.0539E+04 8.6117E-032351 3102
 2.0581E+04 9.1810E-03 2.0623E+04 1.0108E-02 2.0665E+04 1.2131E-022351 3102
 2.0686E+04 1.4560E-02 2.0696E+04 1.6926E-02 2.0707E+04 2.1350E-022351 3102
 2.0717E+04 3.0570E-02 2.0722E+04 3.9973E-02 2.0728E+04 5.8428E-022351 3102
 2.0730E+04 7.5952E-02 2.0733E+04 1.0874E-01 2.0734E+04 1.3751E-012351 3102
 2.0736E+04 1.8227E-01 2.0737E+04 2.5329E-01 2.0738E+04 3.6646E-012351 3102
 2.0739E+04 5.3909E-01 2.0741E+04 7.9163E-01 2.0742E+04 1.1381E+002351 3102
 2.0743E+04 1.5812E+00 2.0746E+04 2.6143E+00 2.0747E+04 2.9688E+002351 3102
 2.0748E+04 3.2140E+00 2.0749E+04 3.3945E+00 2.0750E+04 3.4911E+002351 3102
 2.0750E+04 3.5078E+00 2.0751E+04 3.4214E+00 2.0752E+04 3.3080E+002351 3102
 2.0752E+04 3.1365E+00 2.0753E+04 2.9980E+00 2.0754E+04 2.5946E+002351 3102
 2.0756E+04 1.8818E+00 2.0757E+04 1.5410E+00 2.0758E+04 1.2375E+002351 3102
 2.0758E+04 9.7298E-01 2.0759E+04 7.5631E-01 2.0760E+04 5.8104E-012351 3102
 2.0761E+04 4.4652E-01 2.0762E+04 3.4356E-01 2.0764E+04 2.1200E-012351 3102
 2.0766E+04 1.4186E-01 2.0767E+04 1.0364E-01 2.0769E+04 8.1234E-022351 3102
